subject,region,grade_class,year,grade,degree_type
教育、汉语国际教育,A类,总分,2012,300,专硕
教育、汉语国际教育,A类,单科=100分,2012,40,专硕
教育、汉语国际教育,A类,单科>100分,2012,60,专硕
教育、汉语国际教育,A类,总分,2013,310,专硕
教育、汉语国际教育,A类,单科=100分,2013,40,专硕
教育、汉语国际教育,A类,单科>100分,2013,60,专硕
教育、汉语国际教育,A类,总分,2014,315,专硕
教育、汉语国际教育,A类,单科=100分,2014,42,专硕
教育、汉语国际教育,A类,单科>100分,2014,63,专硕
教育、汉语国际教育,A类,总分,2015,320,专硕
教育、汉语国际教育,A类,单科=100分,2015,44,专硕
教育、汉语国际教育,A类,单科>100分,2015,66,专硕
教育、汉语国际教育,A类,总分,2016,320,专硕
教育、汉语国际教育,A类,单科=100分,2016,45,专硕
教育、汉语国际教育,A类,单科>100分,2016,68,专硕
教育、汉语国际教育,A类,总分,2017,310,专硕
教育、汉语国际教育,A类,单科=100分,2017,44,专硕
教育、汉语国际教育,A类,单科>100分,2017,66,专硕
教育、汉语国际教育,A类,总分,2018,320,专硕
教育、汉语国际教育,A类,单科=100分,2018,44,专硕
教育、汉语国际教育,A类,单科>100分,2018,66,专硕
教育、汉语国际教育,A类,总分,2019,325,专硕
教育、汉语国际教育,A类,单科=100分,2019,44,专硕
教育、汉语国际教育,A类,单科>100分,2019,66,专硕
教育、汉语国际教育,B类,总分,2010,300,专硕
教育、汉语国际教育,B类,单科=100分,2010,38,专硕
教育、汉语国际教育,B类,单科>100分,2010,57,专硕
教育、汉语国际教育,B类,总分,2011,295,专硕
教育、汉语国际教育,B类,单科=100分,2011,38,专硕
教育、汉语国际教育,B类,单科>100分,2011,57,专硕
教育、汉语国际教育,B类,总分,2012,290,专硕
教育、汉语国际教育,B类,单科=100分,2012,37,专硕
教育、汉语国际教育,B类,单科>100分,2012,56,专硕
教育、汉语国际教育,B类,总分,2013,300,专硕
教育、汉语国际教育,B类,单科=100分,2013,37,专硕
教育、汉语国际教育,B类,单科>100分,2013,56,专硕
教育、汉语国际教育,B类,总分,2014,305,专硕
教育、汉语国际教育,B类,单科=100分,2014,39,专硕
教育、汉语国际教育,B类,单科>100分,2014,59,专硕
教育、汉语国际教育,B类,总分,2015,310,专硕
教育、汉语国际教育,B类,单科=100分,2015,41,专硕
教育、汉语国际教育,B类,单科>100分,2015,62,专硕
教育、汉语国际教育,B类,总分,2016,310,专硕
教育、汉语国际教育,B类,单科=100分,2016,42,专硕
教育、汉语国际教育,B类,单科>100分,2016,63,专硕
教育、汉语国际教育,B类,总分,2017,300,专硕
教育、汉语国际教育,B类,单科=100分,2017,41,专硕
教育、汉语国际教育,B类,单科>100分,2017,62,专硕
教育、汉语国际教育,B类,总分,2018,310,专硕
教育、汉语国际教育,B类,单科=100分,2018,41,专硕
教育、汉语国际教育,B类,单科>100分,2018,62,专硕
教育、汉语国际教育,B类,总分,2019,315,专硕
教育、汉语国际教育,B类,单科=100分,2019,41,专硕
教育、汉语国际教育,B类,单科>100分,2019,62,专硕
应用心理,A类,总分,2011,305,专硕
应用心理,A类,单科=100分,2011,40,专硕
应用心理,A类,单科>100分,2011,120,专硕
应用心理,A类,总分,2012,300,专硕
应用心理,A类,单科=100分,2012,40,专硕
应用心理,A类,单科>100分,2012,120,专硕
应用心理,A类,总分,2013,310,专硕
应用心理,A类,单科=100分,2013,40,专硕
应用心理,A类,单科>100分,2013,120,专硕
应用心理,A类,总分,2014,315,专硕
应用心理,A类,单科=100分,2014,42,专硕
应用心理,A类,单科>100分,2014,126,专硕
应用心理,A类,总分,2015,320,专硕
应用心理,A类,单科=100分,2015,44,专硕
应用心理,A类,单科>100分,2015,132,专硕
应用心理,A类,总分,2016,320,专硕
应用心理,A类,单科=100分,2016,45,专硕
应用心理,A类,单科>100分,2016,135,专硕
应用心理,A类,总分,2017,310,专硕
应用心理,A类,单科=100分,2017,44,专硕
应用心理,A类,单科>100分,2017,132,专硕
应用心理,A类,总分,2018,320,专硕
应用心理,A类,单科=100分,2018,44,专硕
应用心理,A类,单科>100分,2018,132,专硕
应用心理,A类,总分,2019,325,专硕
应用心理,A类,单科=100分,2019,44,专硕
应用心理,A类,单科>100分,2019,132,专硕
应用心理,B类,总分,2011,295,专硕
应用心理,B类,单科=100分,2011,38,专硕
应用心理,B类,单科>100分,2011,114,专硕
应用心理,B类,总分,2012,290,专硕
应用心理,B类,单科=100分,2012,37,专硕
应用心理,B类,单科>100分,2012,111,专硕
应用心理,B类,总分,2013,300,专硕
应用心理,B类,单科=100分,2013,37,专硕
应用心理,B类,单科>100分,2013,111,专硕
应用心理,B类,总分,2014,305,专硕
应用心理,B类,单科=100分,2014,39,专硕
应用心理,B类,单科>100分,2014,117,专硕
应用心理,B类,总分,2015,310,专硕
应用心理,B类,单科=100分,2015,41,专硕
应用心理,B类,单科>100分,2015,123,专硕
应用心理,B类,总分,2016,310,专硕
应用心理,B类,单科=100分,2016,42,专硕
应用心理,B类,单科>100分,2016,126,专硕
应用心理,B类,总分,2017,300,专硕
应用心理,B类,单科=100分,2017,41,专硕
应用心理,B类,单科>100分,2017,123,专硕
应用心理,B类,总分,2018,310,专硕
应用心理,B类,单科=100分,2018,41,专硕
应用心理,B类,单科>100分,2018,123,专硕
应用心理,B类,总分,2019,315,专硕
应用心理,B类,单科=100分,2019,41,专硕
应用心理,B类,单科>100分,2019,123,专硕
体育,A类,总分,2010,330,专硕
体育,A类,单科=100分,2010,46,专硕
体育,A类,单科>100分,2010,92,专硕
体育,A类,总分,2011,270,专硕
体育,A类,单科=100分,2011,35,专硕
体育,A类,单科>100分,2011,105,专硕
体育,A类,总分,2012,265,专硕
体育,A类,单科=100分,2012,34,专硕
体育,A类,单科>100分,2012,102,专硕
体育,A类,总分,2013,265,专硕
体育,A类,单科=100分,2013,34,专硕
体育,A类,单科>100分,2013,102,专硕
体育,A类,总分,2014,265,专硕
体育,A类,单科=100分,2014,34,专硕
体育,A类,单科>100分,2014,102,专硕
体育,A类,总分,2015,265,专硕
体育,A类,单科=100分,2015,34,专硕
体育,A类,单科>100分,2015,102,专硕
体育,A类,总分,2016,265,专硕
体育,A类,单科=100分,2016,34,专硕
体育,A类,单科>100分,2016,102,专硕
体育,A类,总分,2017,260,专硕
体育,A类,单科=100分,2017,34,专硕
体育,A类,单科>100分,2017,102,专硕
体育,A类,总分,2018,265,专硕
体育,A类,单科=100分,2018,34,专硕
体育,A类,单科>100分,2018,102,专硕
体育,A类,总分,2019,270,专硕
体育,A类,单科=100分,2019,35,专硕
体育,A类,单科>100分,2019,105,专硕
体育,B类,总分,2010,260,专硕
体育,B类,单科=100分,2010,33,专硕
体育,B类,单科>100分,2010,99,专硕
体育,B类,总分,2011,260,专硕
体育,B类,单科=100分,2011,33,专硕
体育,B类,单科>100分,2011,99,专硕
体育,B类,总分,2012,255,专硕
体育,B类,单科=100分,2012,31,专硕
体育,B类,单科>100分,2012,93,专硕
体育,B类,总分,2013,255,专硕
体育,B类,单科=100分,2013,31,专硕
体育,B类,单科>100分,2013,93,专硕
体育,B类,总分,2014,255,专硕
体育,B类,单科=100分,2014,31,专硕
体育,B类,单科>100分,2014,93,专硕
体育,B类,总分,2015,255,专硕
体育,B类,单科=100分,2015,31,专硕
体育,B类,单科>100分,2015,93,专硕
体育,B类,总分,2016,255,专硕
体育,B类,单科=100分,2016,31,专硕
体育,B类,单科>100分,2016,93,专硕
体育,B类,总分,2017,250,专硕
体育,B类,单科=100分,2017,31,专硕
体育,B类,单科>100分,2017,93,专硕
体育,B类,总分,2018,255,专硕
体育,B类,单科=100分,2018,31,专硕
体育,B类,单科>100分,2018,93,专硕
体育,B类,总分,2019,260,专硕
体育,B类,单科=100分,2019,32,专硕
体育,B类,单科>100分,2019,96,专硕
