subject,region,grade_class,year,grade,degree_type
文学,B类,单科>100分,2006,83,学硕
文学,A类,总分,2007,350,学硕
文学,A类,单科=100分,2007,55,学硕
文学,A类,单科>100分,2007,83,学硕
文学,B类,总分,2007,345,学硕
文学,B类,单科=100分,2007,53,学硕
文学,B类,单科>100分,2007,80,学硕
文学,A类,总分,2008,350,学硕
文学,A类,单科=100分,2008,57,学硕
文学,A类,单科>100分,2008,86,学硕
文学,B类,总分,2008,340,学硕
文学,B类,单科=100分,2008,53,学硕
文学,B类,单科>100分,2008,80,学硕
文学,A类,总分,2009,340,学硕
文学,A类,单科=100分,2009,51,学硕
文学,A类,单科>100分,2009,77,学硕
文学,B类,总分,2009,330,学硕
文学,B类,单科=100分,2009,48,学硕
文学,B类,单科>100分,2009,72,学硕
文学,A类,总分,2010,345,学硕
文学,A类,单科=100分,2010,50,学硕
文学,A类,单科>100分,2010,75,学硕
文学,B类,总分,2010,335,学硕
文学,B类,单科=100分,2010,47,学硕
文学,B类,单科>100分,2010,71,学硕
文学,A类,总分,2011,355,学硕
文学,A类,单科=100分,2011,55,学硕
文学,A类,单科>100分,2011,83,学硕
文学,B类,总分,2011,345,学硕
文学,B类,单科=100分,2011,53,学硕
文学,B类,单科>100分,2011,80,学硕
文学,A类,总分,2012,345,学硕
文学,A类,单科=100分,2012,52,学硕
文学,A类,单科>100分,2012,78,学硕
文学,B类,总分,2012,335,学硕
文学,B类,单科=100分,2012,49,学硕
文学,B类,单科>100分,2012,74,学硕
文学,A类,总分,2013,350,学硕
文学,A类,单科=100分,2013,54,学硕
文学,A类,单科>100分,2013,81,学硕
文学,B类,总分,2013,340,学硕
文学,B类,单科=100分,2013,51,学硕
文学,B类,单科>100分,2013,77,学硕
文学,A类,总分,2014,350,学硕
文学,A类,单科=100分,2014,55,学硕
文学,A类,单科>100分,2014,83,学硕
文学,B类,总分,2014,340,学硕
文学,B类,单科=100分,2014,52,学硕
文学,B类,单科>100分,2014,78,学硕
文学,A类,总分,2015,345,学硕
文学,A类,单科=100分,2015,52,学硕
文学,A类,单科>100分,2015,78,学硕
文学,B类,总分,2015,335,学硕
文学,B类,单科=100分,2015,49,学硕
